bayes,locus
0.24285714285714285,Rv0024
0.273972602739726,Rv0045c
0.2602739726027397,Rv0063
0.2702702702702703,Rv0090
0.20270270270270271,ephF
0.25301204819277107,Rv0176
0.3064516129032258,PE_PGRS3-PE_PGRS4
0.19672131147540983,pks6
0.19696969696969696,Rv0420c-Rv0421c
0.225,senX3-regX3
0.25,mce2B
0.25,Rv0648
0.14084507042253522,Rv0759c-Rv0760c
0.3424657534246575,Rv0794c-Rv0795
0.2714285714285714,Rv0823c
0.22972972972972974,Rv0888
0.2236842105263158,Rv0927c
0.2716049382716049,Rv1042c-Rv1043c
0.2876712328767123,Rv1045
0.34375,Rv1179c-pks3
0.2602739726027397,Rv1225c
0.22972972972972974,Rv1258c
0.23728813559322035,mcr11
0.2692307692307692,Rv1269c
0.2676056338028169,Rv1444c
0.13978494623655913,opcA
0.3068181818181818,Rv1506c-Rv1507c
0.20588235294117646,plsB1
0.2875,Rv1730c
0.33783783783783783,Rv1775
0.2571428571428571,PPE31-PPE32
0.2976190476190476,Rv1907c
0.203125,ctpF
0.23255813953488372,dosT
0.3283582089552239,Rv2081c
0.19047619047619047,Rv2133c
0.29850746268656714,Rv2148c
0.33766233766233766,Rv2264c
0.3,Rv2303c
0.328125,mmpL9
0.21621621621621623,plcA-PPE38
0.29411764705882354,Rv2405-Rv2406c
0.24615384615384617,Rv2437
0.25675675675675674,vapB17
0.3150684931506849,vapB18
0.2638888888888889,Rv2624c
0.2328767123287671,Rv2709
0.2328767123287671,Rv2823c
0.2777777777777778,cobB
0.25757575757575757,Rv2862c-vapB23
0.34523809523809523,lppW-trmD
0.3466666666666667,Rv2923c
0.1724137931034483,ppsA
0.2727272727272727,Rv3428c-PPE59
0.2028985507246377,Rv3483c
0.22388059701492538,ddn-Rv3548c
0.20512820512820512,ponA2-Rv3683
0.2903225806451613,Rv3766
0.22058823529411764,Rv3773c
0.28378378378378377,lipE-Rv3776
0.2878787878787879,Rv3802c-fbpD
0.17142857142857143,Rv3829c
0.2602739726027397,Rv3830c
0.2542372881355932,Rv3847
0.34177215189873417,eccC2
0.24193548387096775,dnaA
0.25925925925925924,dnaA-dnaN
0.3466666666666667,alaT-Rv0008c
0.2962962962962963,Rv0012
0.296875,pknB
0.26865671641791045,pknA
0.35064935064935066,fhaA-leuT
0.22058823529411764,whiB5-Rv0023
0.31343283582089554,bioF2
0.29411764705882354,fadD34
0.21875,fadD34-Rv0036c
0.2727272727272727,leuS
0.21428571428571427,dnaB
0.36619718309859156,dnaB-Rv0059
0.2465753424657534,Rv0061c
0.21686746987951808,Rv0064
0.323943661971831,Rv0067c-Rv0068
0.3333333333333333,glyA2-Rv0071
0.30434782608695654,Rv0078A
0.2898550724637681,hycE-Rv0088
0.30158730158730157,Rv0088-Rv0089
0.25,ctpB
0.2465753424657534,Rv0104
0.325,hddA
0.2345679012345679,hddA-ldtA
0.22727272727272727,oxyS
0.30303030303030304,fusA2
0.2073170731707317,fadE1
0.16923076923076924,fadE1-fgd2
0.208955223880597,cyp138
0.25,mce1D
0.21176470588235294,sigG
0.20588235294117646,Rv0185
0.3181818181818182,Rv0194
0.21428571428571427,Rv0210-pckA
0.27941176470588236,Rv0221
0.24705882352941178,Rv0223c
0.25396825396825395,Rv0226c
0.25882352941176473,fadE5
0.25,Rv0245
0.2916666666666667,nirB
0.2857142857142857,vapB25
0.4264705882352941,eccD3
0.2804878048780488,Rv0302
0.12,Rv0311
0.2878787878787879,Rv0315
0.2753623188405797,Rv0330c-Rv0331
0.27941176470588236,Rv0376c
0.36065573770491804,Rv0380c
0.21333333333333335,clpB
0.2597402597402597,Rv0398c
0.15873015873015872,fadD30
0.19402985074626866,Rv0439c-groEL2
0.24561403508771928,rskA
0.3333333333333333,sigK-Rv0446c
0.21176470588235294,mmpS4-Rv0452
0.2857142857142857,Rv0452
0.3146067415730337,Rv0457c
0.2987012987012987,pcaA-Rv0470A
0.3333333333333333,mshA
0.2222222222222222,Rv0492c
0.2753623188405797,mmpL2
0.2898550724637681,Rv0518-Rv0519c
0.25,ccsA
0.2571428571428571,Rv0530
0.25,galE3
0.25287356321839083,Rv0537c
0.273972602739726,vapB3-fadD8
0.28378378378378377,Rv0565c
0.21739130434782608,Rv0575c
0.28421052631578947,Rv0585c
0.3037974683544304,Rv0585c-mce2R
0.2916666666666667,yrbE2B
0.2711864406779661,Rv0590A
0.2222222222222222,mce2F
0.2602739726027397,Rv0597c-vapC27
0.275,tcrA-Rv0603
0.28169014084507044,Rv0613c
0.3114754098360656,recD
0.23809523809523808,mmaA2
0.175,atsD
0.2631578947368421,echA4
0.21505376344086022,mmpL5
0.22988505747126436,Rv0679c
0.3,rpsL
0.2537313432835821,Rv0691c
0.323943661971831,lldD1-Rv0695
0.20512820512820512,Rv0697
0.19736842105263158,Rv0699
0.3442622950819672,Rv0713
0.1935483870967742,Rv0737-Rv0738
0.30864197530864196,Rv0745
0.2894736842105263,Rv0749A-Rv0750
0.2647058823529412,cyp123
0.3170731707317073,aldA
0.33766233766233766,ggtA
0.2631578947368421,Rv0775
0.23376623376623376,purF
0.2463768115942029,sseC2
0.21621621621621623,Rv0825c
0.296875,lpqR
0.24193548387096775,narL
0.25,pdc-Rv0854
0.2191780821917808,far
0.1864406779661017,dapC
0.2459016393442623,moaD2
0.25,Rv0874c
0.23728813559322035,Rv0890c
0.2753623188405797,Rv0893c
0.29411764705882354,Rv0893c-Rv0894
0.32,Rv0907
0.17647058823529413,PE7-betP
0.3333333333333333,Rv0927c-pstS3
0.22857142857142856,Rv0939
0.27941176470588236,Rv0959
0.2911392405063291,Rv0964c-Rv0965c
0.26666666666666666,PE_PGRS18-mprA
0.22950819672131148,mprB-pepD
0.24,Rv0987
0.2602739726027397,Rv0988
0.2535211267605634,Rv0991c-Rv0992c
0.234375,rimJ
0.2077922077922078,tatD-rpfB
0.19672131147540983,eno
0.29577464788732394,kdpE
0.23809523809523808,Rv1046c
0.208955223880597,Rv1048c
0.2602739726027397,mpr5-Rv1052
0.18292682926829268,Rv1072-Rv1073
0.2619047619047619,lipU
0.2676056338028169,celA2b
0.24675324675324675,MTS0858-glyA1
0.2441860465116279,Rv1129c
0.3287671232876712,Rv1136-Rv1137c
0.2972972972972973,Rv1152
0.25,pimE
0.2875,mutT2
0.21686746987951808,mutT2-narG
0.1780821917808219,narJ
0.2153846153846154,mmpL10
0.24242424242424243,fadD36
0.3220338983050847,fadD6
0.26582278481012656,Rv1217c
0.208955223880597,Rv1227c-lpqX
0.30434782608695654,lpqX
0.21518987341772153,Rv1230c-Rv1231c
0.21052631578947367,embR-Rv1268c
0.2898550724637681,Rv1289-Rv1290c
0.22950819672131148,thrC
0.2222222222222222,dinG
0.27631578947368424,Rv1357c-Rv1358
0.20481927710843373,lprF
0.3023255813953488,carA
0.32857142857142857,dfp
0.22727272727272727,lipI
0.24,lprH-Rv1419
0.29577464788732394,uvrC
0.22413793103448276,Rv1432-Rv1433
0.25,Rv1435c
0.25806451612903225,Rv1439c
0.21875,bisC
0.2714285714285714,Rv1458c
0.2535211267605634,Rv1461
0.234375,Rv1463
0.21052631578947367,Rv1478-moxR1
0.25609756097560976,Rv1489
0.21333333333333335,lipL
0.2191780821917808,Rv1505c
0.2597402597402597,Rv1507A-Rv1508c
0.23684210526315788,Rv1509-Rv1510
0.2602739726027397,Rv1515c
0.22033898305084745,Rv1520
0.3170731707317073,pks5
0.1927710843373494,Rv1532c
0.2222222222222222,ileS
0.27906976744186046,ansA
0.23684210526315788,Rv1566c-Rv1567c
0.2,polA
0.19117647058823528,lysX
0.2465753424657534,pks7
0.3488372093023256,pks8
0.29577464788732394,cyp139
0.27631578947368424,dsbF-Rv1678
0.2535211267605634,moeX
0.30666666666666664,moeX-Rv1682
0.3076923076923077,cycA-PPE22
0.21428571428571427,Rv1739c
0.20512820512820512,Rv1769
0.2463768115942029,Rv1771
0.2777777777777778,cyp143
0.25675675675675674,secA2
0.2916666666666667,Rv1823
0.2318840579710145,gcvH
0.27631578947368424,Rv1835c
0.25675675675675674,glcB
0.2823529411764706,guaB1-gnd1
0.2631578947368421,Rv1847
0.24096385542168675,lldD2
0.23880597014925373,Rv1879-cyp140
0.27472527472527475,Rv1888c-Rv1888A
0.18181818181818182,Rv1894c-Rv1895
0.2,Rv1904
0.28169014084507044,katG
0.3387096774193548,lppC
0.2,Rv1920
0.25,lppF-Rv1922
0.336734693877551,Rv1924c-fadD31
0.21518987341772153,fadD31
0.1935483870967742,Rv1927
0.21875,fadE17
0.2625,Rv1936
0.2987012987012987,ephB
0.2542372881355932,Rv1972
0.2191780821917808,Rv1975-Rv1976c
0.2361111111111111,Rv1978
0.24615384615384617,nrdF1-vapC36
0.19444444444444445,Rv1986
0.3064516129032258,Rv1987-erm(37)
0.3287671232876712,Rv1999c
0.2962962962962963,Rv2000
0.17105263157894737,Rv2020c
0.24358974358974358,Rv2023A
0.34375,Rv2034
0.3,Rv2047c
0.23636363636363636,ASpks-Rv2049c
0.325,rpmG1
0.2597402597402597,Rv2059
0.25,cobN
0.2222222222222222,Rv2079
0.31958762886597936,Rv2082
0.3291139240506329,Rv2087-pknJ
0.23943661971830985,pknJ
0.25757575757575757,pepE
0.2903225806451613,pafB
0.25675675675675674,vapC37
0.2361111111111111,mpa-lppK
0.30666666666666664,Rv2120c-hisG
0.25,Rv2128-Rv2129c
0.24691358024691357,pyrD
0.22388059701492538,PE_PGRS38-pbpB
0.19696969696969696,pknL-Rv2177c
0.3125,Rv2180c
0.2028985507246377,TB16.3-Rv2186c
0.14754098360655737,Rv2191
0.27058823529411763,ephD
0.2535211267605634,Rv2237-Rv2237A
0.20481927710843373,accD6
0.2702702702702703,Rv2248
0.29850746268656714,mazF8
0.20987654320987653,cyp121
0.2602739726027397,Rv2280
0.22535211267605634,lppO
0.21518987341772153,Rv2308
0.2876712328767123,uspA
0.2608695652173913,stp-cysK1
0.21212121212121213,esxO
0.18055555555555555,esxO-esxP
0.3076923076923077,esxP
0.26666666666666666,plcC
0.2753623188405797,plcA
0.24615384615384617,PPE38-PPE39
0.2948717948717949,Rv2355-PPE40
0.18461538461538463,Rv2366c
0.21686746987951808,mbtB
0.25925925925925924,Rv2395-mcr7
0.3150684931506849,subI
0.27941176470588236,ahpD
0.20481927710843373,Rv2433c
0.3283582089552239,obg
0.31343283582089554,rpfE
0.28378378378378377,aglA
0.2608695652173913,Rv2474c
0.2222222222222222,lipQ
0.23076923076923078,lipQ-argW
0.3939393939393939,Rv2488c
0.2112676056338028,vapC38
0.2112676056338028,bkdC
0.20987654320987653,accD1
0.1780821917808219,scoA
0.26582278481012656,Rv2516c
0.24242424242424243,Rv2525c-vapB17
0.2898550724637681,lppA
0.2727272727272727,lppB
0.21333333333333335,vapB20-Rv2551c
0.24675324675324675,Rv2562
0.29508196721311475,glnQ
0.25,Rv2567
0.30158730158730157,aspS-Rv2573
0.3,Rv2621c
0.16666666666666666,hrp1-Rv2627c
0.22727272727272727,Rv2629
0.2375,Rv2632c-Rv2633c
0.34146341463414637,Rv2644c-valT
0.27692307692307694,valU-Rv2645
0.19230769230769232,Rv2659c-Rv2660c
0.25,ceoB
0.2962962962962963,Rv2693c
0.26582278481012656,Rv2712c
0.30434782608695654,fadE20
0.2916666666666667,recX
0.30120481927710846,Rv2800-mazF9
0.2777777777777778,Rv2808-Rv2809
0.2982456140350877,Rv2813-Rv2814c
0.19047619047619047,Rv2820c
0.2647058823529412,Rv2827c-Rv2828c
0.28205128205128205,Rv2828c
0.2878787878787879,vapB22-echA16
0.3333333333333333,echA16
0.25,Rv2864c-relF
0.22413793103448276,dipZ
0.3150684931506849,mpt53-Rv2879c
0.3333333333333333,Rv2891
0.2948717948717949,fdhD
0.3013698630136986,lppW
0.3,amt
0.25757575757575757,ppsD
0.2463768115942029,mas
0.203125,fadD28
0.273972602739726,fadD29-Rv2951c
0.22535211267605634,Rv2951c
0.3,Rv2952
0.2727272727272727,Rv2957-Rv2958c
0.17857142857142858,purU
0.32142857142857145,purU-kdtB
0.20652173913043478,Rv2969c
0.2926829268292683,pfkA-gatA
0.25,Rv3015c
0.19047619047619047,Rv3047c
0.2857142857142857,nrdE
0.25,nrdH-Rv3054c
0.24210526315789474,Rv3081
0.2441860465116279,Rv3081-virS
0.28,moaA1
0.25301204819277107,Rv3115-moeB2
0.2647058823529412,fadB4-Rv3142c
0.29411764705882354,Rv3142c-Rv3143
0.25316455696202533,Rv3173c-Rv3174
0.27058823529411763,Rv3174
0.23943661971830985,Rv3178-Rv3179
0.2625,Rv3181c-Rv3182
0.2833333333333333,Rv3196
0.2835820895522388,nudC
0.27586206896551724,Rv3201c
0.2463768115942029,Rv3202c
0.2857142857142857,Rv3220c
0.25,Rv3236c
0.2676056338028169,mtrB
0.25,Rv3263
0.3442622950819672,Rv3272
